matiere_id,matiere_nom,matiere_code,niveau,credits,type_cours,date_creation
MAT0002,Physique AP1,PHYS-AP1,AP1,5,CM,2025-11-20
MAT0003,Algorithmique AP1,ALGO-AP1,AP1,5,TD,2025-11-20
MAT0004,Programmation AP1,PROG-AP1,AP1,6,TP,2025-11-20
MAT0005,Électronique AP1,ELEC-AP1,AP1,5,CM,2025-11-20
MAT0006,Langue et Communication AP1,LANG-AP1,AP1,3,TD,2025-11-20
MAT0007,Gestion de Projet AP1,GP-AP1,AP1,4,TD,2025-11-20
MAT0008,Mathématiques AP2,MATH-AP2,AP2,6,CM,2025-11-20
MAT0009,Physique AP2,PHYS-AP2,AP2,5,CM,2025-11-20
MAT0010,Algorithmique AP2,ALGO-AP2,AP2,5,TD,2025-11-20
MAT0011,Programmation AP2,PROG-AP2,AP2,6,TP,2025-11-20
MAT0012,Électronique AP2,ELEC-AP2,AP2,5,CM,2025-11-20
MAT0013,Langue et Communication AP2,LANG-AP2,AP2,3,TD,2025-11-20
MAT0014,Gestion de Projet AP2,GP-AP2,AP2,4,TD,2025-11-20
MAT0015,Mathématiques CI1,MATH-CI1,CI1,6,CM,2025-11-20
MAT0016,Physique CI1,PHYS-CI1,CI1,5,CM,2025-11-20
MAT0017,Algorithmique CI1,ALGO-CI1,CI1,5,TD,2025-11-20
MAT0018,Programmation CI1,PROG-CI1,CI1,6,TP,2025-11-20
MAT0019,Électronique CI1,ELEC-CI1,CI1,5,CM,2025-11-20
MAT0020,Langue et Communication CI1,LANG-CI1,CI1,3,TD,2025-11-20
MAT0021,Gestion de Projet CI1,GP-CI1,CI1,4,TD,2025-11-20
MAT0022,Mathématiques CI2,MATH-CI2,CI2,6,CM,2025-11-20
MAT0023,Physique CI2,PHYS-CI2,CI2,5,CM,2025-11-20
MAT0024,Algorithmique CI2,ALGO-CI2,CI2,5,TD,2025-11-20
MAT0025,Programmation CI2,PROG-CI2,CI2,6,TP,2025-11-20
MAT0026,Électronique CI2,ELEC-CI2,CI2,5,CM,2025-11-20
MAT0027,Langue et Communication CI2,LANG-CI2,CI2,3,TD,2025-11-20
MAT0028,Gestion de Projet CI2,GP-CI2,CI2,4,TD,2025-11-20
MAT0029,Mathématiques CI3,MATH-CI3,CI3,6,CM,2025-11-20
MAT0030,Physique CI3,PHYS-CI3,CI3,5,CM,2025-11-20
MAT0031,Algorithmique CI3,ALGO-CI3,CI3,5,TD,2025-11-20
MAT0032,Programmation CI3,PROG-CI3,CI3,6,TP,2025-11-20
MAT0033,Électronique CI3,ELEC-CI3,CI3,5,CM,2025-11-20
MAT0034,Langue et Communication CI3,LANG-CI3,CI3,3,TD,2025-11-20
MAT0035,Gestion de Projet CI3,GP-CI3,CI3,4,TD,2025-11-20
